sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending,language
Bocah-bocah mlayu ing ngarep omahku,Swara rame banget,Padha ngguyu,"Sanadyan saka njero omah, aku isih keprungu swarane",Aku rumangsa keganggu banget,Aku metu saka omah lan mlayu karo wong-wong mau,jv
Abi weruh anak kucing sing tiba.,Anak kucing ora ngerti ana selokan ing ngarepe nalika dheweke mlaku.,Abi langsung mlayu menyang selokan.,Dheweke njupuk kucing kasebut kanthi ati-ati saka saluran pembuangan.,"Anak kucing kuwi langsung klenger ing pangkone Abi, adem lan teles.",Kucing iku putih lan abu-abu.,jv
Ailin nangis weruh awake adhine ana ing ngarepe,Ailin mung dikancani wong tuwane,Wong tuwane Ailin duwe anak 2,Mbakyune Ailin janji arep ngeterake dheweke,Janjine adhine Ailin ora bisa ditepati,Adhine Ailin lagi nganakake kemah,jv
Dina iki Ibu tindak nekani undangan manten,Penganten putri saka kanca apike ibu saka SMA,Bapak lan Mirna rawuh ngancani ibu,"Bareng wis tekan gedhong, padha ngisi buku tamu ing resepsi",Sakwise kuwi banjur ngaturake sugeng marang penganten,Dheweke langsung mulih sawise entuk oleh-oleh pernikahan,jv
Sepedha motore Arvin nginjak paku ing dalan,Arvin langsung marani bengkel ban sing paling cedhak,Arvin kesusu arep melu rapat,Arvin ninggal motore banjur numpak ojek,Arvin teka ing rapat kasebut,Arvin lunga numpak mobil,jv
Dina iki dina wisudane Yona.,"Zoe, wong saka jaman biyen dumadakan muncul ing acara kasebut.","&#x201C;Sugeng wisuda, Na...&#x201D; Zoe menehi kembang lan langsung ngrangkul Yona.",&#x201C;Kowe neng endi?&#x201D; jare Yona karo nangis.,"""Nyiyapake kanggo dina iki, lan dina-dina sing bakal teka. Apa kowe wis siyap menyang alas?&#x201D; Zoe njupuk cincin lan tumungkul ing ngarepe Yona.",Zoe lan kanca-kanca mlebu kamar kanggo ketemu Yona.,jv
Hasyu arep pesen jeruk,Fusion ngalang-alangi niyate Hasyu,Hasyi kena diabetes,Hasyu mung bisa ngombe banyu,Fusi pesen banyu kanggo Hasyu,Hasyu ora seneng ngombe jus jeruk,jv
Mbakyuku wis 3 jam nangis,Aku wis nyoba kanggo nyenengake dheweke,"Nanging sansaya ayem, saya tambah nggero",Dh&#xE8;w&#xE8;k&#xE9; krasa lara amarga kucing&#xE9; sing jeneng&#xE9; Kiki mati.,Mbakyuku pancen tresna marang Kiki,Adik matur nuwun amarga Kiki seda amarga dheweke repot banget,jv
Ibune Lulu lara,Lulu kudu tuku obat kanggo ibune,Lulu menyang apotek paling cedhak,Lulu entuk obat sing dibutuhake ibune,Lulu ngewangi ibune ngombe obat,Lulu ora peduli yen ibune lara,jv
Zari ngalami bencana,Omahe Zari kobong,Kebakaran kasebut kedadeyan amarga korsleting,Zari wis ora duwe panggonan kanggo manggon lan ora duwe bandha maneh,Omahe Zari lan barang-barange kabeh kobong dadi awu,Zari dolanan karo adhine ing kamar,jv
Mripate Mamat wis abang wiwit bengi,Mripatipun ugi terus klentu,Dheweke seneng-seneng main game kabeh wengi,Akhire mripate Mamat dadi garing,Dheweke kudu nggunakake tetes mata kanggo nambani mripate,Dheweke wisuh mripate nganggo banyu sabun,jv
Paskal ngubengi komplek omahe.,"Kebiasaane nyepedha diwiwiti saka undangane kancane, Rasyid.","Saiki Paskal luwih kerep ngebut tinimbang Rasyid, sing mung dina minggu.",Saben dina Paskal tangi jam setengah 5 esuk arep ngepit sak jam.,"Sawise sepedaan, Paskal langsung adus lan siap-siap menyang kantor.","Sawise pit, Paskal langsung menyang omahe Rasyid.",jv
Wetenge Dika dumadakan krasa krasa,Dheweke meringis nandhang lara amarga lara sing ditusuk,Kanca-kancane Dika langsung nulungi Dika sing lagi lara,Digawa menyang UKS,Dika ngakoni wetenge kram amarga ngombe wedang adhem nalika wetenge kosong,Kanca-kancane Dika ora tau kluruk,jv
Brian minangka pejabat pemerintah,Brian ora pengin wilayahe dieksploitasi,Brian ora menehi ijin marang sapa wae sing pengin ngrusak wilayahe,Brian disengiti dening akeh pengusaha,Pengusaha nyawiji kanggo ngusir Brian saka pamar&#xE9;ntahan,Brian entuk suap saka pengusaha,jv
Daisy kepengin nggayuh puncak kamulyan,Daisy dijaluk seneng kabeh proses kasebut,Daisy ngrasakake kabeh lara lan rasa seneng nalika tekan puncak kamulyane,Daisy mesthi tangi yen kudu tiba,Daisy pancen wicaksana ing urip,Daisy nindakake kabeh sing bisa kanggo nggayuh puncak kamulyan,jv
Rambute Mitha wis tekan bangkekan,Dheweke krasa panas amarga rambute dawa banget,Mitha menyang salon arep ngethok rambute,Saiki rambute Mitha mung dawa bahu,Dheweke seneng amarga rambute wis ora panas maneh,Mitha njabut rambute maneh,jv
Wektu dadi cepet banget.,"Tanpa disadari, iki semester pungkasan Mega ing SMA.","Mega dadi loro pilihan utama kanggo kuliah, yaiku Matematika utawa Statistik.","Kanggo kampuse, Mega bakal ndhaftar ing wilayah Jabodetabek amarga ibune ora ngidini dheweke sinau adoh saka omah.","Mega dhewe ora preduli menyang ngendi wae ing kampus, angger bisa sinau bab-bab kang pancen diminati.",Mega dhewe kepengin sinau sinambi nyambut gawe.,jv
Jarvis lagi proses nulis skripsi,Jarvis kudu ngalami revisi,Jarvis wis revisi tesis kaping pirang-pirang,Jarvis kepengin cepet lulus,Jarvis minangka mahasiswa taun pungkasan,Jarvis milih tugas pungkasan kanggo nindakake pakaryan praktis,jv
Si Mbah seneng banget blanja ing pusat perbelanjaan,Saben minggu simbah ora nate leren dolan menyang papan kono,Sawetara bakul ing pusat blanja malah kenal karo Mbah,Kadhang-kadhang mbah-mbah mboyong putu dolan,Dheweke tuku klambi lan dolanan maneka warna putune amarga ngancani blanja,Putune mlayu nalika simbah ora njaga,jv
Farlots melu ing rong kompetisi sing diatur dening BEM UNS,Farlots melu kompetisi Business Case,Farlots mlebu kompetisi akuntansi perusahaan,Kompetisi akuntansi perusahaan lan Kasus Bisnis dianakake ing dina sing beda,Farlots melu kompetisi akuntansi perusahaan ing dina Selasa sawise melu kompetisi Business Case ana,Farlots mung bisa melu ing salah siji kompetisi amarga loro kompetisi dianakak&#xE9; bebarengan,jv
Sore iku aku mung pengen cepet-cepet mulih.,Mung arep ngeculke kabeh sesak sing isih rada macet ing kelas.,"Ternyata bener, saben dina kebak kejutan.",Apa iku apik utawa ala.,"Sayange, aku entuk kejutan sing apik banget dina iki.",Aku metu saka kelas karo nangis ing pangkone kancaku.,jv
Dina iki Farhan ulang tahun.,"Kekasihe, Eci, menehi kejutan sing ora disangka-sangka.",Eci menehi hadiah parfum lan kue ulang tahun.,"Sanajan wis pacaran jarak adoh, Eci tetep berinisiatif aweh kejutan.",Eci masrahake kado ulang tahun marang kancane Farhan sing jenenge Yoga.,Farhan wis suwe ngenteni ECI tekan Jogja.,jv
Putri entuk layang anonim,Putri mbukak layang karo mangu-mangu,Layang kasebut teka saka pulo seberang,Mbakyune putri lagi tugas ing pulo seberang,Layang sing ditampa Putri saka adhine,Sang putri manggon ing pulo sing padha karo sing ngirim layang,jv
Rama mung duwe 3 adhine,Retha lan Rana iku adhine kembar Rama,Ratih iku adhine Rama kang ragil,Caros manggon ing omahe Rama,"Retha, Rana lan Ratih iku adhine Caros",Caros iku adhine Rama,jv
Jimmy iku wong enom banget nggantheng,Dheweke mung 18 taun,Dheweke campuran basa Inggris lan basa Jawa,Pesonane ndadekake dheweke ditresnani dening akeh bocah wadon,Fisik Jimmy pancen nengsemake,Jimmy duwe pasuryan biasa,jv
Mery krasa ngelih,Mery ora nggawa bekal,Mery nggunakake wektu istirahat kanggo tuku panganan,Mery ora duwe wektu kanggo mangan panganan ing kantin,Mery mangan panganan sadurunge guru teka,Mery dhahar ing kantin,jv
Hisa tuku jam tangan ing toko online,Paket Hisa nembe teka,Hisa nampa bungkusan,Hisa langsung masang jam ing kamare,Paket Hisa tekan dengan selamat,Paket Hisa ilang ing ekspedisi,jv
Opik nutupi karcis parkire nganggo botol ngombe.,"Sadurunge metu saka mobil, Opik mriksa barang-barange.",Handphone lan dhompete ana ing saku celana.,Aja lali nggawa tas kertas sing ngemot kado.,Opik mudhun saka mobil mlebu restoran sing lagi dianakake ulang tahun ponakane.,Opik metu saka mobil arep menyang toilet.,jv
Pepen getun amarga rusake gedhong SD sing biyen sekolahe.,Bangunan kasebut ngemot akeh kenangan.,Pepen malah duwe niat arep sekolah ing kana.,Nanging Pepen ora bisa apa-apa.,Pepen mung bisa meneng nalika weruh panggonan sinau sing mbiyen wis malih dadi mall.,Pepen mung bisa meneng ing ngarep omahe.,jv
Adhine Rian sing nomer loro kuwi sregep lan gagah,Dheweke pancen seneng menek apa wae,"Nalika isih cilik, dheweke kerep munggah ing gril jendhela kanggo uwal saka ibune","Nalika dheweke wiwit gedhe, dheweke seneng menek wit kanggo entuk woh","Sanajan wis bola-bali tiba, bocah kasebut ora tau nyerah",Adhine Rian duwe getih kethek proboscis,jv
Motore Zoe entek bensin,Motore Zoe ora obah maneh,Zoe nyurung motore menyang pom bensin sing paling cedhak,Zoe bisa numpak motor maneh,Zoe ngisi bensin motore nganti kebak,Zoe ninggalake motore ing dalan,jv
"Maneh, Alisa bolos kelas",Dina iki wis kaping papat bocah wadon mau mlayu menyang kantin,Wali kelase mutusake kanggo ngubungi wong tuwane Alisa,Wong tuwane Alisa kaget krungu kabar kasebut,"Nganti saiki, dheweke ndeleng Alisa minangka bocah sing sregep sinau",Padha kaget amarga Alisa biasane bolos kelas ing perpustakaan,jv
Swara Leon sing serak minangka ciri sing mbedakake dheweke karo wong liya.,"Tanpa perlu ndeleng pasuryane, sing ngerti Leon bisa langsung ngerti yen Leon saka swarane.",Swara sing serak kuwi uga ndadekake Leon nduweni watak sing kuwat nalika nembang.,"Leon, sing kondhang swarane, asring dikon tampil ing acara sekolah.",Penampilan Leon tansah ditunggu-tunggu lan disambut kanthi apik.,Penampilane Leon tansah disengiti kanca-kancane.,jv
Reno seneng masakane ibune,Reno pancen senengane pecel,"Miturut Reno, pecel paling apik digawe dening ibune",Reno wis ora bisa ngrasakake pecel ibune maneh,Ibune Reno wis seda,Ibune Reno nggawa mangan Reno,jv
Sikah arep tuku sofa anyar,Sikah arep dilebokake ing ruang tamu,Sofa lawase Sikah rusak,Sikah ngumpulake dhuwit kanggo tuku,Sikah ora butuh sofa anyar,Sofa lawase Sikah isih apik banget,jv
"""Lha piye film Van der Wijk? Aku yakin sampeyan bakal nangis,"" dumadakan takon sawise nyruput jus jeruk sing dakwenehake.","""Mesthi wae. Hayati lugu. Lha yen wektu iku sampeyan lagi ing posisi Zainuddin?"" Aku ora ngerti carane pitakonanku metu saka ngendi wae.","""Ora ngerti. Nanging sing mesthi aku mung ora pengin crita kita kaya ngono,"" wangsulane kalem karo dolanan tutup botol.",Aku mesem marang dheweke.,Nanging dumadakan ana rasa wedi sing gedhe banget ing pikiranku.,Kaos abang dheweke narik kawigatenku.,jv
Dira melu resepsi manten kancane,Dira teka karo tunangane,Dira ngenalake tunangane karo kancane,Kanca-kancane Dira ngarep-arep supaya Dira cepet nyusul,Dira ngarep-arep yen enggal kelakon,Dira teka dhewe ing pestane kancane,jv
Aniya pengin nggawe roti panggang 4,Aniya njupuk roti putih sing dituku wingi,Aniya nyebar margarin lan susu coklat,Aniya mbakar roti,Aniya mbaleni bab sing padha 4 kaping,Aniya ora seneng susu coklat,jv
Ing ngarep sekolahe Dina ana bakul yuyu,"Ora mung dodolan kewan cilik iki, bakul uga dodol omah kepiting",Saben mulih sekolah mesthi rame,Siswa ing sekolahe Dina seneng tuku kepiting,Kadhang kala Dina uga tuku kepiting,Kepiting minangka kewan khas sekolahe Dina,jv
Evi guyon karo Zaid,Evi nggendong awak Zaid,Fisik Zaid duwe watesan,Zaid ora bisa nampa lelucone Evi,Evi ora kudu nggawe lelucon fisik,Zaid gumun karo guyonan Evi,jv
Rega laptop sing dikarepake Hadyan pancen larang banget.,Hadyan ora nyiyapake dhuwit sing akeh.,"Bener, tabungane Hadyan cocog karo jumlahe laptop.",Nanging dheweke ora bakal duwe tabungan apa-apa yen dheweke kepeksa tuku.,Hadyan mutusake kanggo tuku laptop liyane sing cocog karo dhuwit sing diduweni.,Hadyan uga mutusake tuku tikus.,jv
Tangane Adel kebak tatu,"Sore iki, dheweke weruh ibu kucing sing njaga anak-anake kanggo mangan",Dheweke bungah banget ndeleng anak kucing sing lucu,Adel nyekel salah sijine anak kucing,Ibu kucing nggaruk-garuk tangane Adel amarga naluri njaga anake,Adel alergi bulu kucing lan tangane tatu,jv
&#x201C;Kringg...&#x201D; Swara hp sing ana ing meja sinau nggugah lamunanku ngenani bumi.,"Ana pesen saka kanca kuliahku katon ing layar ponsel, pesen sing ngemot pangeling kanggo agenda kita sore iki.","&#x201C;Huh, yen ana bumi kene,&#x201D; kandhaku ing ati.",Aku wis nindakake macem-macem kanggo entuk kabar babagan bumi.,"Nanging kaya-kaya kabeh iku muspra, ora ana balesan saka pesen sing dakkirim.",Bumi iku bocah sing apik lan grapyak.,jv
"Sore iku, Mason mulih kanthi rasa sedhih",Dina iku dheweke umur 17 taun,"Nanging, kancane loro ora ngubungi dheweke kabeh dina iki","Bareng tekan omah, dheweke kaget",Jebul kancane wis nyiapake kejutan ulang tahun,Pranyata omah wis pindhah,jv
Elsa seneng banget karo tanduran kembang,"Sayange, dheweke alergi serbuk sari","Saben-saben dheweke nyedhaki kembang, mesthine dheweke bakal wahing",Irunge bakal abang lan mripate berair,Mula dheweke mung bisa nyawang kembang-kembang saka kadohan,Elsa kepengin bisa ngganti irung dadi kurang alergi,jv
Ruri entuk misi khusus saka atasane,Ruri kudu njaga watu aji,Ruri bakal diukum yen watu ilang,Ruri njaga watu kaya dheweke njaga uripe dhewe,Ruri bisa njaga watu kasebut nganti wates wektu sing ditemtokake,Ruri ora gelem njaga watu,jv
Kamala seneng maca ensiklopedia,Kamala ora seneng maca kamus,Kamala tuku akeh buku ensiklopedia anyar,Kamala ora gelem tuku kamus,Kamala ngumpulake macem-macem jinis ensiklopedia,Kamala nduweni akeh buku kamus,jv
Gema pancen senengane nulis crita,Dheweke entuk inspirasi saka macem-macem acara,"Ora jarang, crita-crita kasebut inspirasi saka kedadeyan saben dina",Dheweke pancen pengin dadi novelis terkenal,"Mula, dheweke ora mandheg nulis crita",Dheweke mbangun toko buku kanggo awake dhewe,jv
Marina ora bisa turu,"Dheweke ngantuk banget, nanging dheweke wedi",Dheweke nembe nonton film horor,Padahal Marina kuwi bocah sing wedi banget,Dheweke ora bisa turu amarga kelingan adegan elek ing film kasebut,Marina ora bisa turu amarga dheweke ana ing film horor,jv
Sore iku srengenge panas banget,Rian sing lagi panas-panas arep tuku wedang,Dheweke tuku wedang adhem ing minimarket,"Nalika arep mbayar, ana wong sing antri",Rian ndhawuhi wong kasebut supaya bisa antri kanthi tertib,Rian sing jengkel nyembur marang wong iku,jv
Sirius main bowling,Sirius bisa nyelehake sawetara potongan,Sirius apik banget ing bowling,Sirius asring main bowling,Bowling minangka olahraga sing disenengi Sirius,Sirius ora seneng bowling,jv
Lemari sing dituku Lulu online nembe teka,Lulu bakal nyelehake ing kamare.,Lulu arep ngisi barang-barang sing wis rame ing meja kamar.,"Ukuran lemari ora gedhe, dhuwure 1,5 meter kanthi ambane kurang luwih 1 meter.","Wernane padha karo tembok kamare Lulu, putih.",Lemarie Lulu diijolke meja sinau dening Pak.,jv
Aria kesed banget babagan uripe,Kamare Aria peteng banget lan ora rapi,Ibune Aria tansah mbukak gorden lan jendelane Aria,Ibune Aria sedhih karo kahanane Aria,Aria duwe alesan kanggo kabeh sedhih dheweke,Aria bungah banget kanggo miwiti dina,jv
Penerbangan JT098 saka Palangkaraya menyang Medan dina iki kena pengaruh cuaca ala,"Sajrone lelungan, pesawat ora mandheg goyang banget",Penumpang uga kerep njerit histeris,Ana sing nyebut asman&#xE9; Gusti Allah lan ora k&#xE8;lingan swaran&#xE9; bayi sing nangis,Penerbangan JT098 minangka pengalaman sing bakal angel dilalekake penumpang,Penumpang pesawat JT098 padha surak-surak bungah nalika tekan bandara Medan,jv
Vidi duwe kanca jenenge Zefa,Zefa saiki ana ing Jakarta,Vidi nduwe pacar jenenge Isnan,Zefa lan Vidi lagi mangan ing restoran,Vidi lan Zefa ana ing Jakarta,Vidi karo Isnan,jv
Dalan macet merga ana padudon,Ana nom-noman padu karo sing numpak motor,Nom-noman kasebut minangka penumpang ing sepedha motor,"Nalika lawang sepur meh ditutup, sing numpak sepedha motor mau nekad nembus",Para penumpang padha kuciwa amarga sopir kasebut mbebayani nyawane,Penumpange jengkel amarga arep numpak sepur,jv
"Frozen iku film sing paling kerep diputer keponakane Feli, Mima.",Mima seneng banget karo karakter Olaf ing film kasebut.,Olaf minangka salju sing digawe dening Elsa lan Anna sing urip amarga kabisan gaib Elsa.,Feli ora bisa nahan ngguyu marang Mima sing bungah saben katon Olaf.,"Nalika ana adegan Olaf nyanyi, Feli bakal nyanyi bareng karo Mima nututi swarane Olaf.","Nalika ana adegan Olaf nyanyi, Feli bakal mateni TV supaya Mima ora bisa nonton.",jv
"Ora kaya biasane, Randi sing apikan karo adik-adike","Esuk iki, dheweke masak sarapan kanggo adhine loro","Tanpa ditakoni, dheweke tuku es krim kanggo adhine sawise sekolah",Adhi-adhine padha curiga lan njaluk Randi jujur,Akhire Randi ngakoni yen dheweke ora sengaja ngrusak pajangane adik-adike,Randi arep tuku mobil,jv
Dina iki simbah teka saka desa,Vino lan bapake jemput mbah ing stasiun,"Miturut jadwal, sepure mbah teka jam papat sore",Vino teka awal ing stasiun,Dheweke lan bapake wis ngenteni wiwit jam telu sore,Vino lan bapake tekan stasiun jam lima sore,jv
Indira ora nganggep anane biyung tirine,Indira ora pengin duwe ibu anyar,Indira luwih tresna marang ibune,Indira ora pengin wong liya njupuk posisi ibune,Indira mung tresna marang ibu kandunge,Indira pancen tresna marang ibu tirine,jv
Kamal melu akeh kegiatan,Kamal kudu bisa ngimbangi akademik lan kegiatan,Kamal nduweni manajemen wektu sing apik,Kamal bisa ngrampungake kabeh tugas kanthi apik,Kamal bisa ngimbangi akademik lan aktivitas kanthi apik,Kamal mung kepengin fokus ing kegiatan akademike,jv
Ibu nundha rencanane dolan menyang omahe Bu Sri.,Jebule Ibu wis ora sabar ngenteni anake lik Sri sing nembe lair seminggu kepungkur.,Awake ibu dumadakan krasa lara lan kerep njerit.,Ibu wedi yen sampeyan lara lan ketemu bayi sampeyan bakal nular.,Ibu langsung ngontak lik Sri kandha yen dina iki ora bisa dolan.,Ibu ngubungi Bu Sri kandha yen dheweke bakal langsung menyang omahe.,jv
Mbakyuku langsung nangis nalika tangi,Bapak lan ibu kuwatir karo kahanane adhine,Ibu takon kenapa adhine nangis,Jebule untu susune adhiku rontok,Dheweke nangis amarga wedi yen untune ora thukul maneh,Dheweke nangis amarga duwe untu siji maneh,jv
Pangeran Joko kerep teka ing omahe Sri Mulan kanggo nglamar dheweke,Ananging Sri Mulan tetep nolak kanthi alon-alon tawaran Pangeran,"Sri Mulan tansah seneng marang Pangeran Jaka, adhine Pangeran Joko","Semono uga karo Pangeran Jaka, dheweke seneng banget karo Sri Mulan.","Amarga rasa hormat marang kangmase, Pangeran Jaka ora wani ngungkapake rasane",Pangeran Jaka lan Joko akhire berebut tahta kerajaan.,jv
Ziva nyawang kiwa tengen.,Ziva ora weruh sapa-sapa.,Sanadyan Ziva krasa ana sing nyeluk jenenge.,Telpon muni maneh.,"Ziva noleh mburi lan weruh kancane, Dino, melambaikan tangan marang dheweke.",Ziva noleh mburi lan weruh adhine tukang bakso.,jv
Aditya duwe anak loro,"Anak pisanan Aditya nikah karo bojone, Miller","Anak nomer loro Aditya, Rachel, kerja ing perusahaan perbankan",Raisha iku anak mbarepe Aditya,Raisha nikah karo Miller,Rachel duwe bojo jenenge Miller,jv
