sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
"Kusabab budak leutik, Jojo digedékeun ku monyét di lebak Citarum",Anjeunna murag ka walungan nalika anjeunna orok sarta whereabouts na teu kapanggih di desa Pasir Eurih,"Monyét bikang ngajemput anjeunna di tepi walungan sareng ngurus anjeunna dugi ka yuswa 17 taun, diajar ngalanglang sareng ngaleueur","Jojo hirup jeung kulawarga monyét, diajar ngajaga sawah sareng ngokolakeun kebon","Ayeuna anjeunna tindakan sapertos monyét sareng teu tiasa nyarios normal sapertos manusa biasa, tapi ayeuna mah anjeunna bisa ngalanglang sareng ngaleueur kalayan alus",Ayeuna Jojo ngarencanakeun kuliah di Universitas Padjadjaran jurusan kehutanan sareng duit pitulungan ti bapak-bapak di Bandung
Ade meunang jajanan hajat ti babaturanna di Imah,Ngan sapiring jajanan tapi pohara mahal pikeun Ade,Ade terang yén kaayaan kauangan babaturanna teu saé,Babaturan Ade masih kénéh méré hadiah ka Ade,Ade ngarasa bagja boga babaturan kawas kitu pas poé hajat Sunda,Sahabat Ade poho kana hajat Ade
Aji ngalanggar adat ka Jason,Jason ngahampura Aji,Jason ngan méré Aji kasempetan kadua,Aji ngalanggar adat deui ngalawan Jason,Jason moal ngahampura Aji kadua kalina,Aji teu boga masalah jeung kasalahan kadua Jason. Aji jeung Jason masih tetep ngadahar nasi timbel jeung peuyeum bersama
Adina nelepon indung kuring,Adina keur néangan buku sakolana di Toko Buku di Kota Bandung,Ema nitah adina néangan sorangan di Perpustakaan Universitas Padjadjaran,Adina mah teu manggihan buku sakolana nu luyu jeung kebutuhanana,Indung teu hayang nulungan adina néangan buku sakolana alatan keur sibuk ngabantu acara haul Bupati Bandung,Adina mah teu boga buku sakola alatan geus dibeli ku adi si kénéh
"Waktu harita kuring masih kelas lima SD, kuring sering nonton wayang golek di kampung.","Abdi ngahaja ngagaleuh buku harian anu tiasa dikonci supados carita cinta anak anjing abdi henteu kabaca ku Mamah, pikeun ngajaga rahasia kuring nu aya hubunganana jeung kasenian Sunda.","Teu antaparah deui kalung bentuk haté jeung surat nu disimpen dina kotak diary kudu disumputkeun, kawas ngajaga pupujian Sunda nu aya dina naskah kuno.","Tapi saha nu nyangka, éta diary nu mawa kuring ka saha kuring ayeuna, di tengah-tengah lingkungan budaya Sunda nu kaya.","Kusabab ti harita kuring mimiti resep nulis, jadi kuring bisa nulis novel siga ayeuna, nu nyaritakeun kearifan lokal Sunda.",Kuring ngarasa seneng ngabaca novel ngeunaan sajarah Sunda jeung budayana.
Ari kampung lahir teh geulis pisan ka arah gunung Tangkuban Perahu,"Sawah manjang sajauh panon, aya di wewengkon Subang jeung Garut",Hawa masih seger jeung beresih lantaran aya di daérah anu luhur,"Soréna barudak di kampung ulin babarengan maén tradisional, siga maén sorodot","Teu jarang, ari ulin jeung maranéhna di pinggir sawah atawa situ",Ari teu resep ka budak anu hobi ngala lauk di situ
Sukma nempo raksukan ngalayang di sawah,Sukma hayang newak salah sahiji raksukan,Sukma bungah ku jangjang raksukan,Sukma kalah néwak raksukan,Sukma milih neuteup raksukan ti kajauhan pikeun dileler,Sukma nyokot kabéh raksukan nu ngalayang di sawah
Budak awéwé anu maké kebaya sundanesa narik perhatian Fahri,Fahri jarang ningali awéwé ngawékeun aksesoris tradisional di daérah ieu,Haté Fahri ngagebeg basa nyaho yén awéwé éta bener-bener ngajaga adat istiadat Sunda,Fahri niat rék ngajak éta mojang dugi ka Upacara Seren Taun,Fahri ngarasa yén éta mojang bener-bener ngarusuhan budaya Sunda,Budak awéwé ngagoda Fahri nyampeurkeun rujak kangkung
Ngaran Yuna ditulis dina karet nu napel dina sampul buku basa Sunda.,Yuna nyokot buku tina lantai imah panggung di Ciwidey.,"Yuna nganggap buku baturna nu murag, luyu jeung dongeng Lutung Kasarung.","Tétéla aya kartu tulisan 'Kanggo Yuna, putri Sunda' napel.","Salam ti guruna nyieun Yuna langsung nyimpen bukuna kana kantongna tanpa muka kartu, saenggeh sangkan bari ngahaturkeun rasa syukur.","Salam ti guruna ngajadikeun Yuna ngangkat sirahna tina posisi saré dina méja, ngaluarkeun senyum sumebar."
Kina cita-cita jadi juru pantun Sunda,Anjeunna hoyong nyiptakeun pantun Sunda anu saé anu ditembangkeun ku jalma-jalma di sakumna Tatar Sunda,"Hanjakal, kolot Kina teu ngadukung impianana",Aranjeunna hoyong Kina fokus kana diajar janten dalang wayang,Kina sedih lantaran kolotna teu ngadukung impianana,Kolotna Kina nyaéta dalang wayang anu kasohor
Dinten ayeuna Ibu Yana ngadamel peuyeum apel deui,Ibu Yana hoyong pisan ngadamel peuyeum apel anu lezat,"Dina percobaan kahiji, peuyeum apel ibuna ngeunah pisan",Rasa peuyeum apel dina percobaan salajengna henteu saé sapertos anu munggaran,"Ku alatan éta, ibuna terus nyoba nyieun peuyeum apel",Peuyeum biasana ditambahan kinca atanapi gula merah
Kulawarga Pak Juju resep pisan kana ngawih,Dina weekends aranjeunna mindeng ngawih babarengan,Di imah Ceu Juju ogé aya rohangan ngawih husus,Di jero aya loba parabot pikeun ngawih,Parabot ngawih anu aya sapertos tarawang sareng jentreng,Ngawih kedah nganggo alat bantu
Levi ngagaduhan masalah sareng sistem saraf na sapertos jalma anu aya di Tatar Sunda,Levi teu bisa ngabales sababaraha rangsangan siga nalika ngadanguen degungan angklung,Levi geus ngalaman masalah ieu saprak anjeunna lahir sarta digedékeun di lingkungan Sunda,Levi sieun ku kakuranganana ngarah anjeunna hésé ngarti basa Sunda,Saraf Levi gancang ngaréspon kana sagala rangsangan siga halimunan anu cepeng di sawah,Levi henteu kunanaon sareng kakuranganana kawas jalma resep anu teu terang tujuan
"Tono, lulusan SMP nu aya di Garut, meunang beasiswa pikeun sakola di SMA Negeri 1 Bandung","Manéhna nu tadina gugupay alatan waragad, ahirna ngarasa tenang lantaran bisa maturan di pesantren",Sakabéh waragad SPP jeung waragad hirup di pesantren bakal ditanggung ku yayasan,Tono mangrupa salah sahiji penerima beasiswa yayasan taun ieu,Tono kacida bersyukurna lantaran ahirna cita-citana jadi ulama bisa kawujud ku yayasan,Tono kacida bersyukurna bisa mantuan ngabiayaan kahareup kolotna hirup di kampung halaman
Gea ngaduk-ngaduk gado-gado nu aya di wadahna ku teuteup kosong.,"Liora anu diuk hareupeunana, melong ka Gea reuwas ngapungkeun siomay.",Gea teu biasa kalakuan siga kieu lamun ngadahar gado-gado karesepna.,Sora bel panto ngahalangan Liora rek nanya aya naon di warung gado-gado.,Liora bakal nanya engké sanggeus sakola di pasar tradisional.,Liora bakal ngabéréskeun gado-gado Gea saatos sakola di warung gado-gado.
Carlos pisan terampil dina ngolah karedok,Carlos boga usaha ngajual karedok di pasar,Carlos ngagaduhan seueur kauntungan tina usaha karedok ieu,Karedok anu dihasilkeun Carlos éndah pisan rasana,Usaha karedok Carlos kasohor di seluruh Jawa Barat,Carlos jadi karyawan di hiji pabrik tahu
"Hayu, hayu urang balik ka saung, abdi bakal nganggung anjeun engké,","“Enya, kadieu heula, ngariung babarengan,” walon kuring.","Ah, teu nanaon, santai wae, urang reuneuh, teu cape ngariung wae?",Anjeunna teras ngempurkeun leungeun kuring sareng ngajak kuring ka saung.,"Sababaraha babaturan seuri, nepi ka beungeut kuring langsung jadi beureum jeung panas alatan éra jeung pikagumbira.",Anjeunna ngajak kuring ka lapangan sépakbola sareng anjeunna ngajak kuring maén sépakbola.
Ninaon resep pisan nonton sinetron Sunda?,"Unggal soré sanggeus solat magrib manéhna diuk hareupeun layar televisi salila 3 jam, nongton sinetron Sunda nu nyariosan carita pantun Sunda.","Aya kalana manéhna ngagerendeng lantaran keuheul ningali tokoh antagonis anu kalakuanana mindeng ngaganggu tokoh utama, siga upaya Batara Kala ngalawan Rama.","Teu jarang nini-nini dibaturan ku akina nalika nonton sinetron, nu ngagambarkeun kahirupan urang Sunda di jaman baheula.","Pikeun nini, sinetron Sunda téh minangka sarana hiburan peuting nu ngababarkeun budaya Sunda.","Nini hayang pisan jadi salah saurang palaku dina sinetron Sunda, tapi teu boga kabisa akting siga Dedes di carita Ci Unggal."
Jase butuh duit keur biaya kalahiran pamajikanana di Imah Padepokan,"Jase nginjeum duit ka lanceukna, nu keur ngalamar ngahudangkeun di Cianjur",Jase ngahutang lumayan ageung ka babaturan nu jualan di Pasar Bogor,Jase bakal nyobian ngabalikeun duit sakabeheula ngajaga pesta pernikahanna,"Jase ngabalikeun duit lanceukna 3 bulan ti harita, saacan ngalakukeun upacara Seserahan",Jase teu nikah jeung pamajikanana alatan teu boga cukup duit keur ngayakeun pesta tradisional Sunda
Myra hoyong ngahubungi guru ngaji na,Myra keur nyiapkeun baju panganten,Myra ngirim surat ka guru ngaji na,Myra ngadagoan teu sabar pikeun waleran kacapi suling,Myra nampi réspon surat ti guru ngaji na,Myra ngahubungi guru ngaji na ku panggung wayang
Safar bakal muncul dina klenengan kasenian Jaipongan sakola,Safar ngajak Anne pikeun marengan anjeunna nyanyi lagu Sunda,Anne nolak uleman Safar pikeun midang bersama,Anne terus nyanyi dina klenengan seni budaya Sunda,"Anne dipigawé solo tanpa iringan gitar Safar urang, tapi dibantuan ku tarompet suling",Anne sareng Safar muncul babarengan dina pintonan wayang golek
Sri ngantos Cindy jeung Farlo di Pasar Baru,Sri nuduh Cindy resepna ngagoreng peuyeum teu saé,Cindy ngajelaskeun cara ngagoreng peuyeum jeung bongkorong ka Sri,Sri tarima katerangan Cindy sarta nanya deui ngeunaan cara ngagoreng batagor,Sri geus salah ngartikeun Farlo jeung Si Kabayan,Cindy teu percaya kana omongan Sri ngeunaan wayang golek
Anak budak jadi finalis dina pasanggiri biantara basa Sunda,Manéh geus ngalatih pangalusna nyeungeut pikeun lomba biantara dina acara paskahiji,Manéh gagal nyieun kolotna reueus ngalantunkeun pantun Sunda,Manéh teu pundung malahan terus melakkeun usaha pikeun ngalegaan basa Sunda,Manéh masih ilubiung dina kompetisi séjén sangkan reueus kolotna ngayonkong pantun Sunda,Manéh can pernah milu pasanggiri biantara basa Sunda ku lantaran teu daék ngajaga basa ibu
"Sanggeus jadi mahasiswa, Réndi hayang pisan aktif dina organisasi budaya Sunda",Aya seueur organisasi Jaipongan anu anjeunna hoyong pilih,"Anjeunna geus jangji sobatna pikeun gabung dina organisasi nu sarua, pikeun mekarkeun budaya Sunda leuwih jauh","Hanjakal, kolot Rendi teu satuju ka Rendi, sabab anjeunna hayang Réndi ngan fokus kana studi na","Pamustanganana, Réndi meunang pitulung ti Bapak nu marentahkeun anjeunna sangkan tetep aktif dina organisasi sambil studi","Réndi kantos pahang tés asup ka perguruan luhur pilihanana, terus Réndi ngawitan mahasiswa"
Leuweung resep tiiseun di daérah Sunda,Leuweung bakal ambek lamun katengtremanana kaganggu ku para pangangon sapi,Leuweung teu resep ribut di waktos panen raya,Rimba boga masalah dédéngéan ku lantaran para pangangon sapi ngajauhan karawat leuweung,Ceuli leuweung bakal nyeri lamun aya ribut di pasir Batu Karut,Leuweung resep aya di tempat-tempat anu ribut di tengah kota Bandung
Zahra diajar ngeunaan carita pantun Jawa Barat dina palajaran Sunda dinten ieu,Zahra sadar yén Situ Gede téh teu damang,Polusi air lumangsung sareng ngancurkeun seueur ékosistem di Jawa Barat,Situ Gede bakal garing lamun limbah terus ngalir,Lauk jeung entog bakal leungiteun habitatna,Henteu aya anu bakal kajadian upami limbah di Jawa Barat diantep
Vivi ngucek-ngucek mata ngiring ngajugjug ka pasar Kaget buda.,Beungeut Vivi kacaangan ku sinar lampu tepas tina panggung wayang golek.,Adina Kiki langsung menta hampura lantaran teu kahaja nyorot beungeut Vivi nalika éta di tempat nangtung karawitan Sunda.,"Imah Vivi jeung Kiki pareum, ari siang harieum tatanén kembang hias di taman.",Duanana leumpang ka dapur rék nyokot lilin pikeun upacara nuju panggung wayang.,"Duanana nuju masak gudeg batan di dapur, ngagambar kembang di kertas."
Suci mah pinter maén angklung,Bunyi angklung anu dibeuatkeun Suci bisa nangtung kana irama,Suci geus mindeng maén musik tradisional Sunda saprak budak leutik,Suci ngalakukeun hal eta lamun manehna boga waktu luang di sawah,Suci bisa ngangkat irama angklung na,Suci teu bisa maén rebab
"Saban isuk-isuk, sakulawarga Pak Herman keur ngalengkeun peuyeum",Anjeunna sareng pamajikanana resep pisan kana peuyeum ketan,Anak cikalna biasana ngalengkeun peuyeum bakar kéju,Anak kadua dahar peuyeum bakar jeung oncom,"Mangkaning anak bungsu Pak Hérman anu masih orok, dipasihan sarapan bubur orok",Anak orok Pak Herman dipasihan peuyeum bakar
Andira ngagem agama Islam jeung terus ngiring-ngiring ajaran Nabi Muhammad SAW,Jibril téh Kristen nu ngahargaan Yesus Kristus,Kitab suci Andira nyaéta Al-Quran nu eusina ajaran Islam,Kitab Suci Jibril nyaéta Alkitab nu eusina kisah para nabi Kristen,"Agama Andira jeung Jibril mah béda, Andira Islam sedeng Jibril Kristen",Kitab suci Kristen nyaéta Al-Qur'an nu sarua jeung kitab Andira
Beungeut Nina gampang semu beureum kawas bunga kantong semar,"Unggal latihan silat, beungeutna bakal beureum kawas seuneu","Mun isin, beungeutna ogé beureum kawas anggur anu asak",Babaturanana nicknamed Nina kulub udang kawas anu dipidangkeun di pasar Cianjur,Maranéhna ngarasa yén Nina téh sarupa jeung udang anu jadi beureum lamun dipanaskeun kawas anu diasakan di acara hajat,"Udang ngandung gizi anu hadé pikeun awak, utamana pikeun olahragawan silat"
Tati néré huntu,Mamah nitah Tati ka dokter gigi,Tati nolak sabab sieun dicabut huntuna,Mamah maksa Tati geura indit,Tati kapaksa nurut kana paréntah indungna,Kabéh huntu Tati cageur
Anii.. lulus? Alhamdulillah!!,Hmm,"Naha ari teu bagja Ani? Tong hariwing, didinya mah moal pales, nu nambihan rasa pangéntong ka urang bapak jeung ibu","Jempé sababaraha menit, Ani teu ngajawab, tapi kungsi nengenkeun séndok sangu nu aya dina meja","Akang, abdi mah teu hariwang ka anjeun, abdi ngan ukur naros saha anu janten ojek abdi upami anjeun angkat, ari nantina bisa ngabantos bapak jeung ibu","Ani ngaraketkeun buukna sabeulah cangkéng, ngaluarkeun bau kopi panggora nu anyar dibuat"
Raun ngasih batik ka Ajeng,Ajeng nanya ka Raun,Raun masihan salaku kado ulang taun,Ajeng pisan ka Raun,Ajeng make batik anu dipasihkeun ku Raun,"Ajeng ambek kana batik hejo, terus dialungkeun"
Nora henteu ngajual baju éceran di Pasar Baru,Nora ngalayanan pembeli anu ngajual borongan ka konsumén Batik Priangan,Nora meunang leuwih untung mun pembeli meuli borongan di acara Pekan Raya Bandung,Nora geus loba kauntungan ti méméri baju Sundanés,Beuki pembeli nu datang hayang meuli borongan di D'Pariwisata Lembang,Nora nampi pameseran boh borongan sareng eceran di Toko Tiga
Sita ngajak urang keur ngalengkep bahan ulah di pasar tiga,"Sanggeus ngokolakeun sagala bahan nu diperlukeun, Sita langsung ngantri di panggajian","Nalika gilirannana datang, Sita sadar yén duit anu dipiboga teu cukup pikeun mayar pangajianana","Sita naros upami tiasa mayar nganggo kartu debit, sareng panggajian ngajawab enya",Sita ogé mayar nganggo kartu debit,Sita teu boga kartu debit
Arina keur néangan kado di puseur balanja pikeun hajat ulang tahun adina,Misanna kakara ngalahirkeun orok lalaki,Anjeunna ogé hoyong masihan kado ka putrana nu anyar lahir,Arina mutuskeun meuli baju orok nu aya motif batik Sunda,Manéhna ogé meuli parabot dahar pikeun orok nu aya motif tumpal,Barudak orok biasana aya di pabinihan nu aya di puseur dayeuh Bandung
Lily gagal pikeun ngalengkepan misi panungtungan pikeun ngokolakeun wayang golek,Lily narima teguran kasar ti dalangna,Lily dileupaskeun tina tugas salila 1 bulan pikeun ngalengkepan pasundanan,Lily ngalatih keras pikeun nebus kasalahanana sangkan bisa ngalengkepan wayang golek deui,Lily teu acan damel 1 sasih sangkan kudu ngalatih deui,Lily dihampura sarta meunang misi anyar pikeun ngokolakeun degung
"Budak leutik Tisya jeung Tasyi sok maén keur manggung di pager ayana, ti SD, SMP, nepi ka SMA.","Nalika nyuprih di pesantren, aranjeunna nyandak ngajian anu béda-béda dumasar kana kapentingan masing-masing.","Sanajan kitu, lingkungan pesantren maranéhanana masih sarua.",Aranjeunna mutuskeun pikeun tinggal babarengan di imah pondokan deukeut pasar.,"Tasya jeung Tasyi téh babaturan nu teu bisa dipisahkeun, kawas kacang lapis.","Tasya jeung Tasyi musuh abadi, kawas lawon jeung emban."
Prita sono pisan pisan ka suasana riweuh di komplek ,"Waktu keur leutik, komplek sok ramé soré, sababay jeung sora gong nyiar di masjid ","Barudak kaluar ulin babarengan, ngalungkeutan kana ngariung jeung main sepeda ","Ayeuna geus jarang barudak kaluar ulin sore, lantaran sibuk di imah ",Maranehna sibuk di imah ku PR atawa gadget,Panonpoé di soré teu panas siga panonpoé beurang 
Ema resep pisan kana pepelakan,Kembang karesep Ema nyaéta ros,Emma mindeng meuli kembang pikeun ngahias imahna,Emma boga kebon tukangeun garasi nu loba kembang jaipongna,Ema meuli kembang keur ngahias imah sareng ngalakonan ngariung,Ema alérgi kana kembang nu matak ngaluarkeun sesenggekan
Ezran boga babaturan awéwé nu ngaranna Mawar,Mawar ngan boga babaturan lalaki hiji nu ngaranna Dedi,Ezran gaduh pangalaman anu berharga sareng sahabatna di gunung Tangkuban Perahu,Pangalaman berharga Ezran nyaéta ngeunaan ngartos hartos kahirupan ti indungna,Mawar pernah ngajarkeun Ezran ngeunaan harti hirup di Pasar Baru Bandung,Ezran teu boga pangalaman berharga jeung Mawar di Leuwi Tonjong
Tono bakal nikah ka Widy,Maranéhna ngayakeun pernikahan maranéhanana di aula hotél Sunda,Widy ngagem pakéan kawinan bodas batik Sunda,Tono siga ningali bidadari ti langit nu katingalina pisan,Widy katingalina geulis pisan siga Déwi Sinta,Tono teu hayang dijodokeun jeung Widy lantaran Widy teu bisa ngalakukeun tari Jaipongan
Warqa indit ka imah kolot papa,Warqa manggihan domas foto,Domas foto dijieun sanggeus Warqa lahir di Tatar Pasundan,Warqa ningali poto orok na dina domas foto,Orok na dina domas foto nyaéta poto Warqa,Teu aya poto Warqa keur budak
Aing asup ka pesantren pasantén di Tasikmalaya.,Siswa anu sapantén ka dinya dilarang cintaan lamun can aya nu ngijinkeun.,"Sanajan kitu, loba siswa di pasantren nu coba carita pikeun tetep boga pacar.","Jiga ngawula pikeun ngajarin Al-Quran babarengan, ngajak ngagaul lamun boga acara Maulud jeung rupa-rupa ngawula.","Sanajan kitu, pasantren téh tetep ngajaga adat istiadat Sunda nu luhung.",Murid lalaki ogé kaciri boga hubungan rahasia jeung gurü anu ngora di pasantren.
Anton mikaresep diajar tata cara ngabungkeun batik Priangan,Anton malah ngapalkeun cara ngabungkeun batik Cianjur,Anton ngawasaan mata pelajaran Kesundaan,Anton ngaharepkeun hiji poé jadi maestro Batik Sunda,Anton nyokot jurusan Seni Budaya di SMK,Anton males ngabungkeun motif batik
