sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
Sita nyambut gawe dadi perawat ing Griya Sehat,Sita nyambut gawe ora kesel amarga dibantu rekan-rekan,"Sita nambani pasiene kanthi katresnan, kaya mbok-mbok ngemong putune","Sita rela ngorbanake turu kanggo dheweke, kaya bapak-bapak nglindungi kulawargane",Sita seneng karo karyane lan nduweni rasa bakti kanggo wong Jawa,Sita kesed nalika nyambut gawe lan ngrasa ora cocok karo adat Jawa
Elena ngangkat adhine nganggo delman mawi kuda.,Adhine ana ing omahé kanca kanggo kerja bareng.,Fiona liwat omahé kancané adhine nalika mulih saka pasar.,Fiona nembe rampung sinau materi ngaji ing pesantren.,Adhine wis ngenteni ing ngarep omahé kancané nalika Fiona teka.,Adhine wis ngenteni ing kamare Fiona.
"Santai sedhela, paling ora bakal sadhar kesalahané,","Nyatane, aku ora bisa nahan nepsu suwé-suwé.","Nanging, amarga wong iku kepala bageanku, aku kudu ngajeni sethithik.","Sinten wae yen dheweke ngomong kaya ngono maneh, aku bakal ngalahake dheweke!","Aja digoleki merga Yuna, mbok menawa kowe ora oleh sertifikat",Dheweke teka karo kanca loro sing uga sengit marang aku.
Deni pancen seneng nari tradisional nganggo beskap,Wis macem-macem motif saka beskap,Dheweke uga sinau macem-macem gaya nari tradisional,"Sanajan mung duwe beskap siji, dheweke kerep ngganti motif",mula Deni kaya beskape akeh,Beskap sing reged bisa dicuci nganggo abu gosok
Desainer minangka wong sing kreatif kaya para pengrajin batik,"Kiara pancen kreatif lan kritis ing karyane, kaya para maestro wayang kulit",Kiara kepengin dadi desainer busana tradisional Jawa,Kiara bisa nggawe model kebaya lan blangkon sing dibayangke,Kiara bisa dadi desainer terkenal ing jagad perbatikan,Kiara ora seneng karo seni ukir kayu khas Jepara
Riska lagi nonton wayang kanthi lakon Bharatayuddha,Riska tansah nonton wayang ing layar lebar,Riska langganan grup wayang kulit,Riska seneng banget nonton wayang,Riska nonton wayang ing layar lebar nganggo grup wayang kulit,Riska menyang panggung wayang
Milih produk perawatan rai sing salah dadi bencana kanggo Rina,Rina saiki abang kaya kobong amarga nggunakake sabun wajan,Pasuryane Rina uga sansaya krasa kasar kaya kacang rebus,Rina mutusake menyang dhokter kulit kanggo nggoleki solusi,Dhokter kulit menehi obat kanggo Rina supaya cepet sirna,Rina pengin nglakoni ritual jampe karepe pasuryane
Dina krasa sepi,Bapake Dina maringi hadiah marang Dina,Dina nampa hadiah kasebut kanthi seneng,Bapake Dina tuku oleh-oleh ing pasar tradisional,Dina entuk kucing sing lucu,Bapake Dina ora perduli babar pisan marang anake
Frannisa seneng panganan cepet,Mbakyune Frannisa ora gelem tuku gudeg,Frannisa mbujuk adhine tuku es campur,Frannisa didukani adhine bakpia,Adhine Frannisa ora duwe dhuwit kanggo tuku panganan,Frannisa dituku sate maranggi dening adhine
Dina iki aku ora seneng,Gamelanku ilang,Aku ora ngerti ngendi dheweke lunga,Sanadyan wingi aku isih weruh,Wingi iku dina terakhir aku ketemu dheweke,Gamelanku lagi dirawat ing studio musik
Zulfa kepengin nggayuh kalungguhan kang dhuwur ing kraton,Zulfa mbenerake cara apa wae kanggo nggayuh kasuwungan,"Zulfa nyingkirake kabeh sing ana ing dalane, kalebu lawan-lawane",Zulfa kasil nggayuh puncak paling dhuwur ing karir&#xE9; minangka adipati agung,"Zulfa ngapusi lan licik, kaya déné Ratu Kidul",Zulfa jujur banget anggone nyambut gawe lan dihargai déning rakyate
"Liburan kepungkur, aku nglampahi wektu karo kulawarga mligi ing Jawa Tengah",Kita menyang kampung halamane bapak ing Magelang,"Pemandangan ing kana apik banget, kita bisa ndelok Gunung Merapi lan Candi Borobudur","Hawane seger, swasana ayem kayak ing desa adat Jawa","Liburanku nyenengake banget, apal aku bisa ngerasakna budaya Jawa","Ora krasa langsung mulih, krana aku kebelet ngerasakna jajanan khas Jawa"
Ron iku kanca priya Dewi,Bubar padha guyon lan ora komunikasi maneh,Dewi katon kuciwa karo Ron amarga kerep ora nggatekake dheweke mlebu wayang,Ron bingung karo kahanan iki,Ron lan Dewi wis ora kekancan maneh amarga bedha pendapat ngenani tindakan Semar,Ron lan Dewi rencana arep maringi tumpeng ing pesta rakyat sasi ngarep
Yori nemokake akeh pasir lan batu sing ora digunakake ing pekarangan,Yori ngusulake marang ibu supaya ngedol pasir lan batu kasebut kanggo bahan bangunan,Ibu setuju karo sarane Yori,Yori nganakake promosi reresik pekarangan ing ngarep omah kanthi nganggo batik lan ukiran Jawa,Yori nduweni semangat wirausaha lan bisnis kaya pengusaha batik,Yori males ngewangi ibune njagong pasir lan batu
Jala nggoleki cincin tunangane,Path sadurunge sijine ing meja pawon,Saiki dering kasebut ilang pas Jala lagi ngibadah,Jala ora bisa nemokake cincin kasebut ing kamar,Jala nglaporake kelangan cincin kasebut menyang polisi warga sarta matur kehadian,Jala durung tau yen tunangan kasebut wis digawa adine
Ibu ngantuk,Ibuindhuk tindak pasar,Ibuindhuk tuku krupuk rambak,Krupuke ibuindhuk tiba ing dalan,Ibuindhuk keturon nalika mulih saka pasar,Ibuindhuk turu ing pawon
Agnes tansah ngenteni prajurit teka,Agnes ora tau nyerah ngenteni kekasih kang arep pulang menyang desa,Agnes tansah ngarep-arep yen kekasih bisa mulih saka perang,Pawarta sumebar menawa kekasih Agnes wis tilar donya ing palagan,Agnes ora bakal ketemu pacare maneh,Agnes ngangkat pacare ing alun-alun
Ariel lunga kerja ing luar désa,Ariel manggon ing pondhokan kanggo nyuda biaya,Ana akeh aturan adat desa sing kudu dituruti Ariel,Ariel manggon ing pondhokan nganti wektu panen rampung,Ariel bisa adaptasi karo urip désa,Ariel manggon ing griya dhewe
Aini ora percaya karo wewaton,Aini nduweni tanggal lair ing wulan Sapar,Wong kang wulan lair Sapar bakal untung ing pasar iki,Aini ora olèh rejeki sasi iki,Weton ora kabukten,Aini yakin weton bakal kawujud
"Saben akhir minggu, Jimmy nonton acara lomba masak gudeg",Lomba iki ndadekake Jimmy kasengsem sinau masak gudeg khas Yogyakarta,Jimmy miwiti karo resep gudeg Yu Djum paling prasaja,Kadhang-kadhang dheweke ngajak kanca-kancane nyicipi gudegene kanggo njaluk masukan,"Sanajan gudegene kadhangkala gagal, Jimmy ora mandheg nyoba ngasilaken rasa autentik",Kanca kancane meneng-meneng melu lomba masak jamuan adat Jawa
Juliyan nembe entuk batik khas Yogyakarta,Juliyan duwe beskap resmi saka kerjaan kasebut,Juliyan uga duwe baju adat saka budaya Jawa ing kuliah,Juliyan nglebokake kabeh pakaiane ing lemari,Juliyan nglebokake batik khas Yogyakarta ing lemari,Juliyan nggantung baju wayang ing ngarep kamar
Fidy kepengin entuk dhuwit ekstra kanggo tuku sesajèn ing upacara Sekaten.,Fidy kerja ing papan les ing pawiyatan luhur Yogyakarta.,Fidy entuk gaji kanggo nambahi dhuwit kanthonge supaya bisa tuku jamu tradhisional.,Wong tuwane Fidy bangga weruh Fidy bisa nguri-uri kabudayan Jawa.,Fidy ora njaluk dhuwit saku maneh marang wong tuwane amarga wis bisa mandiri.,Fidy tansah njaluk dhuwit marang wong tuwane nganti-ngine wong tuwane nelangsa.
Wis suwe banget nganti?,"Ya, dawa banget,",Kula wis ngrameke dhewe,Kok ora wangsul?,"Kula ora pengin panjenengan dadi beban,", dheweke mlebu omah
Siswa kelas 3 SD Al-Azhar ngerti Rendi minangka bocah sing nakal,Dheweke seneng ngganggu lan ribut nalika jam pelajaran ngaji,"Nanging, kyai wali kelase ora nate ngece Rendi",Dheweke ngerti yen Rendi kuwi sejatine bocah sing pinter maca Al-Quran,Mung wae Rendi kurang tresnane wong tuwane,"Nanging, Rendi ora seneng karo pelajaran fiqih"
Isa lan Rana lelampahan menyang Alun-Alun Kidul,Rana ngajak Rani tuku bakpia anyar,"Rani sing lagi dolan, kenal karo Isa",Isa ngajak Rana dadi kanca lan ngrame ing wayang kulit,"Isa, Rana lan Rani ana ing Sendratari Ramayana",Rani lan Rana ana ing toko batik
Hario duwe hobi ngunjung kraton,Sekolah Hario nglarang murid-muride ngunjung kraton jam sekolah,Hario nggawa poto-poto kraton menyang sekolah,Ing sekolahe Hario ana pemeriksaan kaget ngenani ngunjung kraton,Hario dihukum amarga kejiret ngunjung kraton jam sekolah,Hario kuwi bocah model sing ora seneng ngunjung kraton
Jèniko ngresiki lantai 1 lan 2 omahé,"Sauntoro iku, rayi Jèniko, Rolan, arep ngumbah yen Jèniko wis rampung ngresiki",Biasané dibagi-bagi tugas omah-omah,"Masak dadi tugasé Jèniko, lan ngumbah piring sing ditindakaké déning Rolan","Rolan uga ngumbah klambi, banjur sawisé garing, Jèniko nyetrika",Ngumbah klambi lan nyetrika dudu urusan Jèniko utawa Rolan
Bella urip ing désa kanthi tentrem,Bella ora duwe perselisihan karo sesepuh,Nganti sawijining dina sesepuh désa berubah,Bella wiwit ngrasakake kekhawatiran ing désa,Bella wis ora tentrem maneh ing désa,Bella ngowahi sikape marang adat istiadat
Mendaki Puncak Lawu iku lagu favorit Cissa.,Cissa seneng banget nyanyi lagu iki.,Apamaneh yen lagi prei kaya saiki.,Cissa lan keluargane menyang Puncak numpak delman.,Sadawane dalan keprungu swarane Cissa sing ceria nyanyi lagu kesukaane.,"Sadawane lelampahan, Cissa keprungu muni ngigau nalika turu."
Erasma seneng mborong wayang kulit,Erasma lan Cian iku sepasang kancane dalang,Cian pinter ngleksakan lakon Ramayana,Erasma ahli nganggit gamelan,Erasma bisa nguri-uri budaya Jawane,Erasma males nggelar upacara adate
Ivan mikir babagan prospek kerja kanggo taun ngarep ing désa,Ivan lulusan pondok pesantren anyaran ora duwe pengalaman kerja,Perusahaan batik butuh wong sing duwe pengalaman nyulam,Ivan kasil ditampa ing perusahaan batik kang duwe sejarah tua,Ivan duwe sambungan ing perusahaan batik amarga bapaké uga dadi pengrajin batik,Ivan mung duwe ijazah SMA saka sekolah swasta
Pandemi lumpuh akeh sektor pertanian ing desa-desa Jawa,Petani tebu ora oleh THR amarga keuangane koperasi ora apik,Galang ora entuk THR kanggo nonton tayuban,Galang kudu nampa nasib ora bisa ngirim dhuwit kanggo kulawargane kanggo kupat lebaran,Galang iku tani tebu,Galang menehi THR marang bawahane kanggo beli jamu
Iffy kangen kancane,Iffy ora tau jujur marang awake dhewe,Iffy tansah mbantah atine,Iffy ethok-ethok seneng nalika kanca-kancane ngandhani babagan bocah wadon sing disenengi,Iffy matur nuwun karo kancane,Iffy gelem pacaran karo kanca liyne
Devan minangka tersangka kasus pembunuhan ing kutha Solo,Devan digawa menyang kantor polisi Gubernur kanggo ditakoni,"Devan mangsuli kabeh pitakon kanthi lancar lan sopan, kaya wong Jawa kang luhur budiné","Devan seneng bisa mbales dendam, nanging kudu tetep njaga martabat",Devan iku pembunuh sejati lan kena hukuman adil,"Devan ora mungkin dadi pembunuh, amargi wong Jawa kudu tetep menjaga tata krama"
Layla kerso nyukupi bayine sing isih cilik,Layla ora duwe wektu kanggo nggawe pecak,Layla krasa bayine ngelih banget,Layla lunga menyang pasar kanggo tumbas beras,Layla tuku jenang bayi kanggo anake,Layla tansah nggawe jenang bayine ing dalem
Dina Minggu pakdhe Beni teka saka desa,Dheweke nggawa maneka warna woh-wohan minangka oleh-oleh,"Ana semangka, durian lan woh ula sing dipetik langsung saka kebon",Aja lali gudeg sing dadi panganan favorit mbah,Pakdhe Beni dadi tukang kebon ing desane,Pakdhe Beni tukang es dung-dung ing desane
Kampung Pesantenan Harapan kaget banget karo kedadeyan wingi.,Maling sepedha motor sing wis suwe kuwatir akhire kecekel.,Dheweke kejiret sawise sepedha motor sing diculik kecepetan pas liwat ing dalan utama.,Pranyata pelaku iku salah sijine warga kampung sing seneng ngayomi.,Warga padha ngumpul nggawa pelaku menyang kantor keamanan kampung.,Para warga nggebug pelaku bebarengan nganti luka-luka.
Kawigatosanku tumuju marang bocah-bocah ing pinggir kali sing padha dodolan gudeg sing katon kecekel.,"Sedasa ewu wae pak, sak karung, gudegne enak","Ora ana sing kurang? Gudege cilik-cilik, angel diresiki,","Ah, buk. Wis ora usah tawar-menawar maneh. Dhik sing mlarat,","Ibune meneng lan langsung mbayar, mbok menawa isin karo murid SMA sing pikirane wis dewasa.",Ibune kerja ing pasar tradisional ora adoh saka kali.
Penyu kewane Dede dijaga kanthi apik kaya déwa ing kuil.,Saben dina Dede tansah menehi panganan gudeg lan es dawet.,Penyu iku kado ulang tahun saka Bapak nalika mudik lebaran.,Wis setaun Dede tetep wae mencilak-ncilik karo kura-kura.,Dede ngarep-arep supaya kura-kura umure dawa kaya umuré Ratu Kidul.,Dede ngarep-arep yen penyu bisa malih dadi reog ponorogo.
"Ari 10 warsa, Maria ora nonton wayang kulit ing TVRI",Maria wis kepingin dadi dalang wiwit cilik,Nanging nalika iku umuré ora nyukupi pranatan dadi dalang,Warsa iki Maria umur 17 warsa lan diijini sinau nganti dadi dalang,Maria wis ngirim aplikasi registrasi pasanggiri wayang kulit lan bakal bersaing ing wulan Juni ngarep,Maria kepingin dadi pembawa acara pasanggiri wayang kulit wulan Juni ngarep
Saben malem Nami tansah dolan menyang alun-alun karo kanca-kanca,Dheweke ngentekake wektu ngobrol karo ngombe bandrek,"Ora jarang, Nami kelangan wektu",Pegaweane ora digatekake lan bijine sithik banget,"Akibate, Nami dilarang ibune menyang alun-alun saben dina","Pungkasane, Nami mutusake kanggo mandheg sekolah supaya dheweke bisa ing alun-alun kabeh"
Jimmy lan Sandi kerep ora rukun senajan sadulur,"Saben dina, ana perkara sing dirembug kaya wayang kulit",Kakang mbarep kerep didukani yen lagi gelut kaya Bima kontra Duryodana,"Sanadyan mangkono, Jimmy tansah gelem nulungi Sandi kang lagi kesusahan kaya wong Jawa nulungi sesama","Sandi uga seneng duwe sedulur tuwa sing nyenengake kaya Jimmy, kaya pakde lan buyut sing ngasuh anak",Sakwise kuwi Jimmy njaluk Sandi mbales kaya pasini wayang
Krincing krincing krincing..,Aku kudu ninggalake seserahan lan sampah panganan kanggo ngrampungake rasa penasaran babagan tokoh sing ana ing mburi lawang.,"Ora mungkin kanca-kanca jemput aku iki, wong tuwaku mesthi ngabari yen arep teka, aku uga ora pesen galon isi ulang esuk.",iya ta? WHO?,,Aku bali menyang kamar kanthi tangan kosong tanpa nggawa apa-apa.
Saya Riana lara banget,Dheweke duwe penyakit asam lambung,Dhokter wis nglarang Riana mangan pedhes,"Nanging, Riana ora ngrungokake sarane dhokter",Asam wetenge mumbul lan lara,Asam wetenge mumbul amarga mangan sayuran
Akhire pesenane Kayla teka,Dheweke pesen mesin es cukur sing prasaja kanggo ngolah es serut khas Jawa,Kayla langsung nggawe porsi es serut saka gula Jawa,Dheweke sijine es persagi menyang mesin kang wis dibumboni kacang lan santen,"Sawise es cukur siap, dheweke nambahake susu lan sirup gula Jawa supaya enak",Es persagi dadi banyu sawise digawe panas nganggo kompor tradhisional Jawa
Kulawargaé Liana pancèn mlarat,Ibuné Liana malah wis ora duwé sega manèh,Kulawargaé Liana slamet kanthi keterbatasan,Liana ora bisa mangan sega ing dina iku,Liana kudu pasa ing Jemuwah,Liana bisa mangan sega sak karepé
"""Kok kowe arep ninggal guwa? Kowe wis ora seneng karo aku, ta? Apa sampeyan nemokake sing anyar?"" Aku ngandika miwiti obrolan ing mobil sambil ngguyuke wayang di radio.","""Ya ora, cukup setaun nglalekake kowe,"" wangsulane Bumi sambil nggawe wedang secang.",Terus?,"Piye awakmu dhewe? Sawise setahun nyinaoni perasaan, apa kowe isih seneng karo aku?","Tak pikir-pikir jawabane, ning njero ati mesthi isih kepikiran karo Zoe, nanging aku uga tansah kangen karo Bumi amarga setaun kepungkur dheweke ora tau muncul nganti wayah lebaran.","Aku ora arep menyang ngendi wae karo bumi, mesti mung menyang pasar malem wae."
Kulo baru rampung rembuk karo sedulur-sedulurku ing omah Jawi.,"Sawise sedulur-sedulurku bubar, kulo banjur tangi lan menyang pawon rencana arep ngadem.","Nanging, ati kulo mandeg nalika liwat Lestari sing arep metu saka pawon lan pengin menyang kamare sing ana ing jejere kamarku.",Kulo wedi amarga isine rembuk kulo karo sedulur-sedulurku ngenani Lestari.,Muga-muga dheweke ora krungu.,Kulo metu saka kamar lan nggoleki keris sing ilang.
Hanif muter-muter kipas ing pendhapa.,Hanif nyoba nggoleki apa sing salah.,"Ing jaman saiki, kipas angin asring mandheg nalika diuripake.",Hanif curiga ana bagean ing mesin kipas sing ora bisa digunakake maneh.,"Yen Hanif ora bisa ndandani nganti sore, dheweke bakal nggawa kipas menyang empu reparasi.","Yen nganti sore Hanif ora bisa ndandani, dheweke bakal ngubengi kebon ping 10."
Lika wiwit cilik seneng karo carita wayang.,Biyen biyen ibu maca crita wayang marang Lika saben bengi sadurunge turu.,"Saka critane Rama, Arjuna, Kresna, nganti Bima.",Lika tuwuh kanthi carita-carita wayang kasebut.,"Lika uga sinau akeh perkara saka carita-carita wayang kasebut, babagan apa sing kudu ditindakake utawa ora ditindakake ing urip.",Lika uga kepengin bisa dadi ksatria ing tanah Jawa kaya ing wayang kasebut ing sawijining dina.
Pak Lurah dipasrahake dadi pemimpin désa,Pak Lurah ora nindakake amanat kanthi becik,Pak Lurah ngrusak akeh warga désa,Pak Lurah dikudeta kanthi ora sopan,Pak Lurah saiki ora dadi pemimpin désa kasebut,Ora ana sing bisa ngilangi Pak Lurah saka jabatane
Rio wis nem taun ora ganti beskap,Sanajan beskap ana bolongan ing endi-endi,"Nanging, Rio tansah nambal dhewe","Yen taline putus, Rio uga bakal njahit maneh",Rio tresno banget karo beskap,Rio kepengin dadi wong sing bisa gawé beskap sing éndah
Abby menyang wana kanggo njaga wilayah alas,Abby nampa amanat saka lurah kanggo njaga senthong,Abby nuruti dhawuhe lurah,Abby minangka lulusan paling apik ing akademi kehutanan,Abby bisa jadi pawang lemah,Abby mung bisa ngopeni kebon
Eyang Atin rumangsa sepi,Dheweke mung urip dhewe karo bojone,Omah gedhong sepi banget,Mung nalika lebaran omah dadi rame karo tekane anake,Anake eyang Atin ora tau dolan kejaba lebaran,Eyang Atin urip seneng bareng karo kerabate
"Saben akhir semester, siswa kelas III SMA Harapan nduweni tradhisi kang unik","Padha tuku oleh-oleh sing regane sepuluh nganti rong puluh ewu, kaya ta blangkon lan batik","Sawise iku, kabeh hadiah diwenehi nomer kaya ta nomer undian",Pimpinan kelas bakal nyiapake kertas sing ditulis nomer hadiah kanthi aksara Jawa,"Siswa bakal milih kertas kanthi acak kanggo entuk hadiah, lalu ndelikake menika marani hadiah kang wis dipilih",Kabeh oleh-oleh dijupuk ketua kelas kanggo dipakai nang upacara adat
Gika ngrangkul Ibu kenceng sambi ngucap syukur.,"Ibu ngguyu karo ngelus-elus sirahe Gika, nganggo baju kurung khas Jawa.","Gika tambah kenceng rangkulane, kaya kanggo ngempas bocah cilik.","Gika ngerti dheweke mesthi bakal kangen banget karo Ibu, kaya kang wis ora bakal nemoni wong tuwa maneh.",Gika mung ngeculake rangkulane nalika krungu pengumuman yen sepur arep mangkat menyang kutha Ngayogyakarta.,"Gita mung ngeculake rangkulane nalika wis peteng, pas jam siji esuk."
"Dinda... ayo mangan gudeg,",Menu esok bengi sing digawe bapake Dinda wis disuguhake.,"Sawise ibune seda, adhine lan bapake kudu gantian nggawe gudeg.",Wah... wiwit kapan kowe bisa nggawe gudeg yang lezat?,"Wis suwe... Bapak ngajari kowe, saiki ayo mangan dhisik,","Dinda njupuk sega, nanging dumadakan tangane ndemek gelas kopi jawa."
